service_id,date,exception_type
040-4-0650062025-MUC#INN,20250624,2
040-4-0650062025-MUC#INN,20250625,2
040-4-0650072025-MUC#INN,20250708,2
040-4-0650072025-MUC#INN,20250709,2
040-4-0650072025-MUC#INN,20250715,2
040-4-0650072025-MUC#INN,20250716,2
040-4-0650072025-MUC#INN,20250722,2
040-4-0650072025-MUC#INN,20250723,2
040-4-0650102025-MUC#INN,20251008,2
040-4-0650102025-MUC#INN,20251015,2
040-4-0650102025-MUC#INN,20251022,2
040-9-1515062025-INN#MUC,20250624,2
040-9-1515062025-INN#MUC,20250625,2
040-9-1515062025-INN#MUC,20250626,2
040-9-1515072025-INN#MUC,20250708,2
040-9-1515072025-INN#MUC,20250709,2
040-9-1515072025-INN#MUC,20250710,2
040-9-1515072025-INN#MUC,20250715,2
040-9-1515072025-INN#MUC,20250716,2
040-9-1515072025-INN#MUC,20250717,2
040-9-1515072025-INN#MUC,20250722,2
040-9-1515072025-INN#MUC,20250723,2
040-9-1515072025-INN#MUC,20250724,2
040-9-1515102025-INN#MUC,20251008,2
040-9-1515102025-INN#MUC,20251009,2
040-9-1515102025-INN#MUC,20251015,2
040-9-1515102025-INN#MUC,20251016,2
040-9-1515102025-INN#MUC,20251022,2
040-9-1515102025-INN#MUC,20251023,2
049-1-0800092025-B#HL,20250909,2
049-1-0800092025-B#HL,20250910,2
049-1-0800092025-B#HL,20250916,2
049-1-0800092025-B#HL,20250917,2
049-1-0800092025-B#HL,20250923,2
049-1-0800092025-B#HL,20250924,2
049-1-0800102025-B#HL,20251008,2
049-1-0800102025-B#HL,20251015,2
049-1-0800102025-B#HL,20251022,2
049-32-1400092025-HL#B,20250909,2
049-32-1400092025-HL#B,20250910,2
049-32-1400092025-HL#B,20250916,2
049-32-1400092025-HL#B,20250917,2
049-32-1400092025-HL#B,20250923,2
049-32-1400092025-HL#B,20250924,2
049-32-1400102025-HL#B,20251008,2
049-32-1400102025-HL#B,20251015,2
049-32-1400102025-HL#B,20251022,2
050-10-1100092025-HH#B,20250907,2
050-13-1100092025-B#HH,20250906,2
050-16-1300092025-HH#B,20250914,2
050-16-1300092025-HH#B,20250921,2
050-16-1300092025-HH#B,20250928,2
050-21-1715092025-B#HH,20250908,2
050-21-1715092025-B#HH,20250911,2
050-21-1715092025-B#HH,20250915,2
050-21-1715092025-B#HH,20250918,2
050-21-1715092025-B#HH,20250922,2
050-21-1715092025-B#HH,20250925,2
050-21-1715092025-B#HH,20250929,2
050-21-1715102025-B#HH,20251002,2
050-21-1715102025-B#HH,20251006,2
050-21-1715102025-B#HH,20251009,2
050-21-1715102025-B#HH,20251013,2
050-21-1715102025-B#HH,20251016,2
050-21-1715102025-B#HH,20251020,2
